symbol,name
ٚ,arabic vowel sign small v above
ٛ,arabic vowel sign inverted small v above
ٜ,arabic vowel sign dot below
ٝ,arabic reversed damma
ٞ,arabic fatha with two dots
ٟ,arabic wavy hamza below
٠,arabic-indic digit zero
١,arabic-indic digit one
٢,arabic-indic digit two
٣,arabic-indic digit three
٤,arabic-indic digit four
٥,arabic-indic digit five
٦,arabic-indic digit six
٧,arabic-indic digit seven
٨,arabic-indic digit eight
٩,arabic-indic digit nine
٪,arabic percent sign
٫,arabic decimal separator
٬,arabic thousands separator
٭,arabic five pointed star
ٮ,arabic letter dotless beh
ٯ,arabic letter dotless qaf
ٰ,arabic letter superscript alef
ٱ,arabic letter alef wasla
ٲ,arabic letter alef with wavy hamza above
ٳ,arabic letter alef with wavy hamza below
ٴ,arabic letter high hamza
ٵ,arabic letter high hamza alef
ٶ,arabic letter high hamza waw
ٷ,arabic letter u with hamza above
ٸ,arabic letter high hamza yeh
ٹ,arabic letter tteh
ٺ,arabic letter tteheh
ٻ,arabic letter beeh
ټ,arabic letter teh with ring
ٽ,arabic letter teh with three dots above downwards
پ,arabic letter peh
ٿ,arabic letter teheh
ڀ,arabic letter beheh
ځ,arabic letter hah with hamza above
ڂ,arabic letter hah with two dots vertical above
ڃ,arabic letter nyeh
ڄ,arabic letter dyeh
څ,arabic letter hah with three dots above
چ,arabic letter tcheh
ڇ,arabic letter tcheheh
ڈ,arabic letter ddal
ډ,arabic letter dal with ring
ڊ,arabic letter dal with dot below
ڋ,arabic letter dal with dot below and small tah
ڌ,arabic letter dahal
ڍ,arabic letter ddahal
ڎ,arabic letter dul
ڏ,arabic letter dal with three dots above downwards
ڐ,arabic letter dal with four dots above
ڑ,arabic letter rreh
ڒ,arabic letter reh with small v
ړ,arabic letter reh with ring
ڔ,arabic letter reh with dot below
ڕ,arabic letter reh with small v below
ږ,arabic letter reh with dot below and dot above
ڗ,arabic letter reh with two dots above
ژ,arabic letter jeh
ڙ,arabic letter reh with four dots above
ښ,arabic letter seen with dot below and dot above
ڛ,arabic letter seen with three dots below
ڜ,arabic letter seen with three dots below and three dots above
ڝ,arabic letter sad with two dots below
ڞ,arabic letter sad with three dots above
ڟ,arabic letter tah with three dots above
ڠ,arabic letter ain with three dots above
ڡ,arabic letter dotless feh
ڢ,arabic letter feh with dot moved below
ڣ,arabic letter feh with dot below
ڤ,arabic letter veh
ڥ,arabic letter feh with three dots below
ڦ,arabic letter peheh
ڧ,arabic letter qaf with dot above
ڨ,arabic letter qaf with three dots above
ک,arabic letter keheh
ڪ,arabic letter swash kaf
ګ,arabic letter kaf with ring
ڬ,arabic letter kaf with dot above
ڭ,arabic letter ng
ڮ,arabic letter kaf with three dots below
گ,arabic letter gaf
ڰ,arabic letter gaf with ring
ڱ,arabic letter ngoeh
ڲ,arabic letter gaf with two dots below
ڳ,arabic letter gueh
ڴ,arabic letter gaf with three dots above
ڵ,arabic letter lam with small v
ڶ,arabic letter lam with dot above
ڷ,arabic letter lam with three dots above
ڸ,arabic letter lam with three dots below
ڹ,arabic letter noon with dot below
ں,arabic letter noon ghunna
ڻ,arabic letter rnoon
ڼ,arabic letter noon with ring
ڽ,arabic letter noon with three dots above
ھ,arabic letter heh doachashmee
ڿ,arabic letter tcheh with dot above
ۀ,arabic letter heh with yeh above
ہ,arabic letter heh goal
ۂ,arabic letter heh goal with hamza above
ۃ,arabic letter teh marbuta goal
ۄ,arabic letter waw with ring
ۅ,arabic letter kirghiz oe
ۆ,arabic letter oe
ۇ,arabic letter u
ۈ,arabic letter yu
ۉ,arabic letter kirghiz yu
ۊ,arabic letter waw with two dots above
ۋ,arabic letter ve
ی,arabic letter farsi yeh
ۍ,arabic letter yeh with tail
ێ,arabic letter yeh with small v
ۏ,arabic letter waw with dot above
ې,arabic letter e
ۑ,arabic letter yeh with three dots below
ے,arabic letter yeh barree
ۓ,arabic letter yeh barree with hamza above
۔,arabic full stop
ە,arabic letter ae
ۖ,arabic small high ligature sad with lam with alef maksura
ۗ,arabic small high ligature qaf with lam with alef maksura
ۘ,arabic small high meem initial form
ۙ,arabic small high lam alef
ۚ,arabic small high jeem
ۛ,arabic small high three dots
ۜ,arabic small high seen
۝,arabic end of ayah
۞,arabic start of rub el hizb
۟,arabic small high rounded zero
۠,arabic small high upright rectangular zero
ۡ,arabic small high dotless head of khah
ۢ,arabic small high meem isolated form
ۣ,arabic small low seen
ۤ,arabic small high madda
ۥ,arabic small waw
ۦ,arabic small yeh
ۧ,arabic small high yeh
ۨ,arabic small high noon
۩,arabic place of sajdah
۪,arabic empty centre low stop
۫,arabic empty centre high stop
۬,arabic rounded high stop with filled centre
ۭ,arabic small low meem
ۮ,arabic letter dal with inverted v
ۯ,arabic letter reh with inverted v
۰,extended arabic-indic digit zero
۱,extended arabic-indic digit one
۲,extended arabic-indic digit two
۳,extended arabic-indic digit three
۴,extended arabic-indic digit four
۵,extended arabic-indic digit five
۶,extended arabic-indic digit six
۷,extended arabic-indic digit seven
۸,extended arabic-indic digit eight
۹,extended arabic-indic digit nine
ۺ,arabic letter sheen with dot below
ۻ,arabic letter dad with dot below
ۼ,arabic letter ghain with dot below
۽,arabic sign sindhi ampersand
۾,arabic sign sindhi postposition men
ۿ,arabic letter heh with inverted v
